Year;Age;Female;Male;Total
1835;0;17343.98;18133.30;35477.28
1835;1-4;55202.94;56164.00;111366.94
1835;5-9;66973.00;68189.02;135162.02
1835;10-14;68237.51;68206.93;136444.44
1835;15-19;62125.06;61200.67;123325.73
1835;20-24;50724.86;49668.86;100393.72
1835;25-29;46157.87;45326.51;91484.38
1835;30-34;44667.83;45088.83;89756.66
1835;35-39;38356.40;37485.98;75842.38
1835;40-44;34716.15;32899.06;67615.21
1835;45-49;28250.95;26473.32;54724.27
1835;50-54;26902.48;24862.08;51764.56
1835;55-59;24215.01;22023.64;46238.65
1835;60-64;19302.98;16853.15;36156.13
1835;65-69;15611.85;13081.83;28693.68
1835;70-74;10940.30;8857.24;19797.54
1835;75-79;6903.13;5331.77;12234.90
1835;80-84;3482.39;2461.52;5943.91
1835;85-89;1226.95;788.45;2015.40
1835;90-94;281.53;160.43;441.96
1835;95-99;52.94;27.99;80.93
1835;100-104;2.44;4.82;7.26
1835;105-109;1.74;0.06;1.80
1835;110+;0.00;0.00;0.00
1910;0;35000.00;36267.00;71267.00
1910;1-4;127495.00;130429.00;257924.00
1910;5-9;150186.00;152454.00;302640.00
1910;10-14;141193.00;142988.00;284181.00
1910;15-19;126172.00;125522.00;251694.00
1910;20-24;118903.00;108851.00;227754.00
1910;25-29;108939.00;99184.00;208123.00
1910;30-34;98471.00;91073.00;189544.00
1910;35-39;84150.00;78386.00;162536.00
1910;40-44;76154.00;68314.00;144468.00
1910;45-49;69167.00;60997.00;130164.00
1910;50-54;64590.00;57914.00;122504.00
1910;55-59;54706.00;49209.00;103915.00
1910;60-64;45412.00;40008.00;85420.00
1910;65-69;37851.00;32463.00;70314.00
1910;70-74;28624.00;23448.00;52072.00
1910;75-79;18132.00;14578.00;32710.00
1910;80-84;9747.78;7005.12;16752.90
1910;85-89;4186.55;2716.82;6903.37
1910;90-94;908.42;416.11;1324.53
1910;95-99;94.68;38.75;133.43
1910;100-104;1.77;0.46;2.23
1910;105-109;0.00;0.00;0.00
1910;110+;0.00;0.00;0.00
