Year;Age;Female;Male;Total
1835;0;420552.36;437654.46;858206.82
1835;1-4;1436722.41;1469336.93;2906059.34
1835;5-9;1638105.44;1671655.92;3309761.36
1835;10-14;1545051.62;1585675.07;3130726.69
1835;15-19;1474041.83;1531384.60;3005426.43
1835;20-24;1355681.44;1430511.05;2786192.49
1835;25-29;1268795.60;1318489.90;2587285.50
1835;30-34;1214700.04;1243780.08;2458480.12
1835;35-39;1175759.63;1137455.50;2313215.13
1835;40-44;1052228.29;911797.23;1964025.52
1835;45-49;971284.21;803402.52;1774686.73
1835;50-54;848505.03;763344.66;1611849.69
1835;55-59;739232.91;655518.32;1394751.23
1835;60-64;610289.48;502633.42;1112922.90
1835;65-69;486845.31;409026.12;895871.43
1835;70-74;339538.68;303321.22;642859.90
1835;75-79;203472.72;184316.26;387788.98
1835;80-84;94136.59;86013.77;180150.36
1835;85-89;28637.83;25493.64;54131.47
1835;90-94;7632.74;6814.07;14446.81
1835;95-99;1569.80;1377.07;2946.87
1835;100-104;182.83;154.94;337.77
1835;105-109;16.53;13.38;29.91
1835;110+;0.00;0.00;0.00
1836;0;458454.32;484860.31;943314.63
1836;1-4;1444545.68;1470139.69;2914685.37
1836;5-9;1643999.99;1682000.01;3326000.00
1836;10-14;1546999.99;1583000.00;3129999.99
1836;15-19;1479999.99;1531000.01;3011000.00
1836;20-24;1365999.99;1443000.00;2808999.99
1836;25-29;1271000.00;1322000.01;2593000.01
1836;30-34;1205000.00;1250000.00;2455000.00
1836;35-39;1167000.00;1154999.99;2321999.99
1836;40-44;1077000.01;947999.99;2025000.00
1836;45-49;986999.99;795000.00;1781999.99
1836;50-54;850000.00;762000.00;1612000.00
1836;55-59;740000.00;664999.99;1404999.99
1836;60-64;622000.00;512000.00;1134000.00
1836;65-69;487000.00;402000.01;889000.01
1836;70-74;342000.00;301999.99;643999.99
1836;75-79;204999.99;185000.01;390000.00
1836;80-84;95863.51;87009.81;182873.32
1836;85-89;29782.07;26224.50;56006.57
1836;90-94;7656.94;6685.95;14342.89
1836;95-99;1572.88;1340.64;2913.52
1836;100-104;166.95;144.81;311.76
1836;105-109;13.65;13.06;26.71
1836;110+;0.00;0.00;0.00
1837;0;426886.92;444259.18;871146.10
1837;1-4;1481934.80;1522262.30;3004197.10
1837;5-9;1647951.81;1685459.72;3333411.53
1837;10-14;1556984.16;1594075.28;3151059.44
1837;15-19;1487875.16;1536292.74;3024167.90
1837;20-24;1376736.79;1451413.08;2828149.87
1837;25-29;1275908.11;1327731.64;2603639.75
1837;30-34;1204995.86;1246890.47;2451886.33
1837;35-39;1168420.23;1167727.59;2336147.82
1837;40-44;1090982.49;984900.48;2075882.97
1837;45-49;971928.57;799344.27;1771272.84
1837;50-54;863596.74;755810.62;1619407.36
1837;55-59;750118.22;672152.38;1422270.60
1837;60-64;628121.83;525880.03;1154001.86
1837;65-69;486187.67;398350.14;884537.81
1837;70-74;348643.23;301341.50;649984.73
1837;75-79;207266.16;185480.15;392746.31
1837;80-84;97269.44;87561.82;184831.26
1837;85-89;30976.43;26972.73;57949.16
1837;90-94;7779.30;6682.99;14462.29
1837;95-99;1592.04;1370.79;2962.83
1837;100-104;173.20;134.14;307.34
1837;105-109;15.03;11.46;26.49
1837;110+;0.00;0.00;0.00
1838;0;412691.01;429770.20;842461.21
1838;1-4;1479046.65;1522536.20;3001582.85
1838;5-9;1652346.37;1692020.87;3344367.24
1838;10-14;1563422.09;1602007.29;3165429.38
1838;15-19;1494019.26;1541284.58;3035303.84
1838;20-24;1387466.59;1456497.81;2843964.40
1838;25-29;1280887.34;1333672.33;2614559.67
1838;30-34;1203493.51;1244172.35;2447665.86
1838;35-39;1164175.47;1173435.94;2337611.41
1838;40-44;1100771.74;1018807.90;2119579.64
1838;45-49;963783.22;808408.46;1772191.68
1838;50-54;871887.39;747823.47;1619710.86
1838;55-59;755379.44;674619.18;1429998.62
1838;60-64;629940.91;536417.01;1166357.92
1838;65-69;481538.66;393078.84;874617.50
1838;70-74;347495.87;295111.31;642607.18
1838;75-79;204073.21;181068.78;385141.99
1838;80-84;94962.07;85102.00;180064.07
1838;85-89;30828.15;26806.62;57634.77
